parameter_name,Limb grasping
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:108072
parameter_id,ESLIM_008_001_017
pvalue,0.7316547
gene_symbol,Traf6
analysis_id,815905yrsr7y478
