analysis_id,6425j12e64gdbi8
parameter_id,MGP_IMM_026_001
pvalue,0.8758964
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Ift74
mouse_strain,C57BL
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
