analysis_id,6ndl4jz82z3n0cr
mouse_life_stage,E9.5
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
mouse_strain,C57BL
parameter_name,Cholesterol ratio
pvalue,0.175621
parameter_id,IMPC_CBC_058_001
