gene_symbol,Zyg11b
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_005_001
analysis_id,6l0471hc3780wz0
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3646973
gene_accession_id,MGI:2685277
