parameter_name,Left total retinal thickness
pvalue,0.8648162
mouse_life_stage,Early adult
analysis_id,0x581an4u7uekyd
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
mouse_strain,C57BL
parameter_id,IMPC_EYE_068_001
