parameter_name,Upper teeth appearance
gene_accession_id,MGI:1924315
pvalue,0.9788756
parameter_id,IMPC_CSD_069_001
analysis_id,4i0ay4g9lciuwqx
mouse_strain,C57BL
gene_symbol,Ints7
mouse_life_stage,E9.5
