gene_symbol,Abo
mouse_life_stage,Early adult
parameter_name,Facial Morphology
analysis_id,d462s87096v2s47
pvalue,0.9266794
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:2135738
