analysis_id,2v06v8vl7n8l7o4
gene_symbol,Bmi1
pvalue,0.8672767
gene_accession_id,MGI:88174
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_081_001
mouse_life_stage,E12.5
