parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
parameter_name,Right kidney weight
pvalue,0.3847751
gene_symbol,Bach2
mouse_strain,C57BL
analysis_id,g59lq0ttp305ze7
