analysis_id,wqt9mt4w551g6on
gene_symbol,Cldn19
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
gene_accession_id,MGI:3033992
pvalue,0.5034463
mouse_strain,C57BL
mouse_life_stage,Early adult
