analysis_id,l51y359pwr61g92
parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
mouse_life_stage,E12.5
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_strain,C57BL
pvalue,0.28564
