analysis_id,524q398u9xr36j4
gene_accession_id,MGI:1931749
gene_symbol,Pum1
mouse_strain,C57BL
pvalue,0.6479546
mouse_life_stage,Early adult
parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
