analysis_id,md75686xka2704v
parameter_id,IMPC_IMM_034_001
pvalue,0.593905
mouse_strain,C57BL
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
gene_symbol,Col6a3
gene_accession_id,MGI:88461
