gene_symbol,Casq1
pvalue,0.8206621
parameter_id,JAXLA_CSD_023_001
mouse_strain,C57BL
analysis_id,654817m32nvf6u9
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
parameter_name,Vibrissae - presence
