analysis_id,5bss8509zzy8808
parameter_id,MGP_PBI_033_001
gene_symbol,Bmi1
pvalue,0.3152822
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
