gene_symbol,Maco1
mouse_strain,C57BL
pvalue,0.4670613
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:1913396
parameter_name,Ulna
mouse_life_stage,Early adult
analysis_id,0gt57yfdt6he3wj
