gene_symbol,Bmp7
mouse_strain,C57BL
pvalue,0.2836461
parameter_id,MGP_MLN_006_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,19qtdk2m8z1xm3p
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
