analysis_id,os15s4w8o397amn
mouse_strain,C57BL
pvalue,0.7617196
gene_symbol,Fgb
parameter_name,Facial Morphology
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
parameter_id,IMPC_GEP_017_001
