analysis_id,03cd30f7769g2g5
gene_symbol,Cds2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.2901593
gene_accession_id,MGI:1332236
parameter_id,MGP_IMM_007_001
