parameter_id,JAX_SLW_014_001
pvalue,0.54787
mouse_strain,C57BL
analysis_id,rnp74p50oh0xz5k
mouse_life_stage,Early adult
gene_symbol,Nanp
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:1914561
