gene_symbol,Sdcbp2
parameter_id,MGP_IMM_121_001
analysis_id,7iogv81823g0605
gene_accession_id,MGI:2385156
mouse_strain,C57BL
parameter_name,Macrophages - % of CD45+
pvalue,0.126102
mouse_life_stage,Early adult
