parameter_name,B1B Cells
mouse_strain,C57BL
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
analysis_id,e1iqr051c13u78e
pvalue,0.2377913
