gene_symbol,Sprr1b
mouse_life_stage,Early adult
parameter_name,Periphery resting time
analysis_id,bi63o4f877l0nn4
parameter_id,IMPC_OFD_011_001
pvalue,0.8915075
mouse_strain,C57BL
gene_accession_id,MGI:106659
