analysis_id,8xat652q94gtr6r
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_strain,C57BL
gene_accession_id,MGI:1913105
parameter_id,MGP_IMM_013_001
mouse_life_stage,Early adult
pvalue,0.4788605
gene_symbol,Slc28a2
