parameter_name,Percentage center time
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
analysis_id,io3o8zwv96defuy
gene_symbol,Inpp1
pvalue,0.4619162
gene_accession_id,MGI:104848
