gene_symbol,Gpa33
analysis_id,1869i58prqcg69s
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:1891703
mouse_life_stage,Early adult
pvalue,0.1704321
