parameter_name,Retina (combined)
gene_accession_id,MGI:1914515
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
gene_symbol,Slc39a10
pvalue,0.6510067
analysis_id,to61tkjv9cf561b
mouse_life_stage,Early adult
