mouse_strain,C57BL
pvalue,0.2789064
analysis_id,f47779b2e84302r
gene_symbol,Lpgat1
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
