mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.9602218
parameter_name,Whole arena resting time
analysis_id,14ut7200z6t883w
parameter_id,ESLIM_007_001_003
mouse_strain,C57BL
