parameter_id,TCPLA_CSD_030_001
analysis_id,683690j54a34007
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
mouse_strain,C57BL
parameter_name,Tremor
pvalue,0.570089
mouse_life_stage,Early adult
