analysis_id,f3k6i1ntih6kvb6
gene_symbol,Extl1
pvalue,0.6485066
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
parameter_id,MGP_PBI_027_001
mouse_strain,C57BL
parameter_name,NK cell number
