analysis_id,2lu9fq7bea0gm6m
parameter_name,Cue Baseline % Freezing Time
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2063477
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
parameter_id,HRWLLA_FEA_015_001
