analysis_id,56984e17e5yi70y
gene_accession_id,MGI:88174
parameter_id,TCPLA_CSD_030_001
parameter_name,Tremor
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.6249098
mouse_life_stage,Early adult
