parameter_id,MGP_IMM_036_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
pvalue,0.3514578
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
analysis_id,469m44z0jqtuhbq
gene_symbol,Snap23
