gene_symbol,Lurap1
analysis_id,7112w21t31px6ph
mouse_strain,C57BL
parameter_name,Vibrissae - presence
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_023_001
pvalue,0.1582712
gene_accession_id,MGI:1915325
