parameter_name,NK Subsets (Q2)
gene_symbol,Slc45a3
analysis_id,e595z1tq6r4cche
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
pvalue,0.2816618
