gene_symbol,Nipal3
gene_accession_id,MGI:1921802
pvalue,0.7381487
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
mouse_strain,129SV
analysis_id,k0843mkb959a16b
parameter_id,JAXLA_DXA_007_001
