parameter_name,Limb grasp
gene_accession_id,MGI:1923029
pvalue,0.5370142
gene_symbol,Dnaaf9
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_039_001
mouse_strain,C57BL
analysis_id,965xwy0vu3t3d1w
