parameter_name,Center permanence time
gene_symbol,Mecom
gene_accession_id,MGI:95457
analysis_id,86o6g5fa53pvaor
mouse_strain,C3H
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
pvalue,0.7930161
