analysis_id,h4l10z0ki3kvyfa
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_name,Effector NK cells - % of NK cells
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
pvalue,0.3658966
parameter_id,MGP_MLN_032_001
