parameter_id,M-G-P_016_001_001
pvalue,0.3921941
parameter_name,White blood cell-count
gene_symbol,Trdmt1
analysis_id,9ldqpb4823b7472
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1274787
