gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
parameter_name,Limb grasping
pvalue,0.8940185
analysis_id,ade1hy7z2t22y8l
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
