analysis_id,e61et473ok0h0e6
gene_symbol,Tatdn3
mouse_life_stage,Early adult
parameter_name,Bone Area
pvalue,0.159875
mouse_strain,C57BL
gene_accession_id,MGI:1916222
parameter_id,IMPC_DXA_010_001
