gene_symbol,Ufc1
parameter_id,HMGULA_CBC_009_001
parameter_name,Calcium
analysis_id,fd08zcv1qtll338
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3484243
