gene_symbol,Tatdn3
parameter_name,HRV
gene_accession_id,MGI:1916222
parameter_id,IMPC_ECG_010_001
pvalue,0.3516816
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,j4sn38b481t24z1
