gene_symbol,Atg4c
pvalue,0.9310285
mouse_strain,C57BL
parameter_id,MGP_IMM_027_001
analysis_id,mvz954t4m8739s8
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
