analysis_id,piw47np66sk979q
mouse_strain,C57BL
pvalue,0.05028844
parameter_name,Distance travelled - total
gene_symbol,Npbwr1
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
