parameter_name,Neutrophil cell count
gene_accession_id,MGI:97613
mouse_strain,C51BL
analysis_id,96n4499u3970ako
pvalue,0.1800911
gene_symbol,Plcb1
mouse_life_stage,Middle aged adult
parameter_id,IMPC_HEM_030_001
