analysis_id,02bhs3ucv838emq
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_name,Spleen weight
pvalue,0.2160238
parameter_id,UCD_OWT_003_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
