parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,679sah2m7yy663y
gene_accession_id,MGI:1918345
gene_symbol,Kif24
parameter_name,center - distance
pvalue,0.4652707
