parameter_name,Neutrophil differential count
gene_symbol,Kdm4c
analysis_id,ib2380991821f7p
mouse_strain,C57BL
gene_accession_id,MGI:1924054
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
pvalue,0.5006669
