analysis_id,5k74r2f0mfmzrra
gene_accession_id,MGI:105072
parameter_id,IMPC_HEM_027_001
gene_symbol,Rab22a
parameter_name,Red blood cell distribution width
pvalue,0.4239867
mouse_life_stage,Early adult
mouse_strain,C57BL
