analysis_id,72c4963j6r15q2b
parameter_id,JAX_SLW_014_001
gene_accession_id,MGI:1274787
pvalue,0.6347728
gene_symbol,Trdmt1
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep standard deviation
mouse_strain,C57BL
