analysis_id,mm9q77ceb0ik38a
parameter_id,IMPC_CBC_004_001
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.8224043
mouse_life_stage,Early adult
parameter_name,Urea (Blood Urea Nitrogen - BUN)
mouse_strain,C57BL
