analysis_id,4bw206qvsh3099g
parameter_name,Effector NK cells - % of NK cells
pvalue,0.2294039
mouse_strain,C57BL
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
parameter_id,MGP_MLN_032_001
gene_accession_id,MGI:2446186
