analysis_id,434736yio221jr9
parameter_name,Mean cell volume
gene_symbol,Alkbh3
parameter_id,ESLIM_016_001_005
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.148075
gene_accession_id,MGI:1916363
