analysis_id,491j89aom0max21
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Hrnr
pvalue,0.05086728
