analysis_id,p4pepc249fk53h5
pvalue,0.8926638
gene_symbol,Steap3
parameter_id,MGP_IMM_121_001
mouse_life_stage,Early adult
parameter_name,Macrophages - % of CD45+
gene_accession_id,MGI:1915678
mouse_strain,C57BL
