parameter_name,Response amplitude - S
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
gene_symbol,Col6a3
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
pvalue,0.3672393
analysis_id,35g695y27ne0g4x
