gene_symbol,Galk2
pvalue,0.8841041
gene_accession_id,MGI:1917226
parameter_id,IMPC_GEL_057_001
analysis_id,m0ns77y5d7h448r
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Heart looping
