gene_symbol,Prkcq
parameter_name,Calcium
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1835166
analysis_id,r08v253qzfal559
gene_accession_id,MGI:97601
parameter_id,HMGULA_CBC_009_001
