gene_symbol,Exd1
pvalue,0.7041795
parameter_id,IMPC_XRY_025_001
analysis_id,8u5672b1pw11aw5
mouse_strain,C57BL
parameter_name,Tibia
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
