parameter_name,Center average speed
gene_symbol,Lpgat1
analysis_id,9n867257015z8ca
mouse_life_stage,Late adult
pvalue,0.2712
parameter_id,IMPC_OFD_017_001
gene_accession_id,MGI:2446186
mouse_strain,C57BL
