parameter_id,M-G-P_014_001_010
analysis_id,c0m1m066v53yvp8
parameter_name,lens opacity
gene_accession_id,MGI:1914309
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ola1
pvalue,0.7673303
